,,,,,,,24.48%,,,,,,,,,,,,,,11.45%,,70.05%,,,,,,
,Level Name,,GDDL Tier,,Level ID,,Rated,,Verify Date,,Difficulty,,,Placement,,Primary Source,,Points,,Main Skillset,,,Verification Link,,Placement on Verification,,,Year Verified,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thinking Space II,,Tier 39,,119544028,,Featured,,2025-05-24,,Extreme Demon,,,1,,Global,,"125,000.00",,,Chokepoints,,[VERIFIED] Thinking Space II by CairoX and more (Top 1),1,1,,,2025,1
,Amethyst (wPopoff),,Tier 39,,119550490,,Featured,,2025-07-13,,Extreme Demon,,,2,,Global,,"117,500.00",,,Wave,,I just beat the TOP 1 DEMON Amethyst AGAIN (NO CBF) - YouTube,1,2,,,2025,1
,Amethyst (wPopoff) (Old),,Tier 39,,134809395,,Unrated,,2025-05-25,,Extreme Demon,,,3,,EDI,,"117,500.00",,,Wave,,(TOP 1 VERIFIED) Amethyst 100% by Mist and Mo (no CBF) - YouTube,1,2,,,2025,
,Flamewall,,Tier 39,,126242564,,Epic,,2026-02-14,,Extreme Demon,,,4,,Global,,"112,000.00",,,Nerve Control,,(HARDEST IN OCEANIA) FLAMEWALL 100% (Top 2 Extreme Demon) by UNarwall | Geometry Dash 2.2,1,4,,,2026,
,Flamewall (Old),,Tier 39,,134495078,,Unrated,,2025-09-21,,Extreme Demon,,,5,,THAL,,"112,000.00",,,Nerve Control,,[VERIFIED] Flamewall 100%,1,4,,,2025,1
,Tidal Wave buffed,,Tier 39,,116732736,,Unrated,,2025-04-01,,Extreme Demon,,,6,,THAL,,"101,500.00",,,Wave,,(HARDEST LEVEL) BUFFED TIDAL WAVE 100%,1,1,,,2025,1
,Tidal Wave (March 2025),,Tier 39,,138477424,,Unrated,,2025-05-06,,Extreme Demon,,,7,,Global,,"100,100.00",,,Wave,,[TOP 1] Tidal Wave 100% by zavet - YouTube,1,3,,,2025,1
,Tidal Wave (September 2023),,Tier 39,,105241443,,Unrated,,2023-09-10,,Extreme Demon,,,8,,Hand Placed,,"100,000.00",,,Wave,,TIDAL WAVE VERIFIED // HARDEST LEVEL // ONILINK,,1,,,2023,
,VSC x2,,Tier 38,,125131485,,Unrated,,2025-08-30,,Extreme Demon,,,9,,THAL,,"82,875.00",,,Wave,,VSCx2 100% VERIFIED!! :D,1,7,,,2025,1
,SARY NEVER CLEAR (Old),,Tier 38,,609629,,Unrated,,2025-10-08,,Extreme Demon,,,10,,THAL,,"80,000.00",,,Chokepoints,,OG SARY NEVER CLEAR BY OPTIC SUNFLOW 100% VERIFIED (MYTHICAL DEMON),1,9,,,2025,1
,ORBIT,,Tier 38,,133175713,,Mythic,,2026-02-10,,Extreme Demon,,,11,,Global,,"79,000.00",,,Learny,,VERIFIED // ORBIT // MINDCAP AND MORE - YouTube,1,10,,,2026,
,Orochi (Old),,Tier 38,,136742562,,Unrated,,2026-03-21,,Extreme Demon,,,12,,THAL,,"78,000.00",,,Overall,,old orochi 100.00% accuracy 0 deaths - YouTube,1,12,,,2026,
,Sakupen Circles (Unnerfed),,Tier 38,,10887708,,Unrated,,2025-07-15,,Extreme Demon,,,13,,Global,,"76,570.00",,,Controlled Spam,,UNNERFED SAKUPEN CIRCLES VERIFIED // MY FINAL HARDEST,1,7,,,2025,1
,Nullscapes,,Tier 38,,109780665,,Featured,,2024-09-03,,Extreme Demon,,,14,,Global,,"75,000.00",,,Robot,,VERIFIED // NULLSCAPES // ITZKIBA,1,2,,,2024,1
,BOOBAWAMBA,,Tier 38,,110816181,,Featured,,2024-10-05,,Extreme Demon,,,15,,Global,,"70,669.34",,,Memory,,[VERIFIED] BOOBAWAMBA (Extreme Demon) By Akunakun & more,1,3,,,2024,1
,Quanteuse processing,,Tier 38,,117692518,,Rated,,2026-04-10,,Extreme Demon,,,16,,Global,,"62,101.41",,,High CPS,,[FIRST VICTOR] Quanteuse Processing 100% // Renn241 - YouTube,1,16,,,2026,1
,Every End,,Tier 38,,116174063,,Rated,,2025-03-16,,Extreme Demon,,,17,,Global,,"61,428.12",,,Nerve Control,,Geometry Dash - Every End Verified (On Stream) - YouTube,1,4,,,2025,1
,Penumbral,,Tier 38, ,134942736,,Unrated,,2026-03-05,,Extreme Demon,,,18,,Global,,"61,091.47",,,,,[~TOP 10] PENUMBRAL VERIFIED // cherryteam - YouTube,1,16,,,2026,
,Subsuming Vortex,,Tier 38,,127997391,,Featured,,2025-11-10,,Extreme Demon,,,19,,EDI,,"60,923.14",,,Wave,,[VERIFIED] Subsuming Vortex // SeptaGon7 // (IMPOSSIBLE DEMON),1,14,,,2025,1
,Silent clubstep,,Tier 38,,4125776,,Rated,,2022-07-17,,Extreme Demon,,,20,,Global,,"60,000.00",,,Chokepoints,,"[TOP 1] ""SILENT CLUBSTEP"" VERIFIED!! (LEGENDARY DEMON)",1,1,,,2022,1
,andromeda,,Tier 37,,114283297,,Rated,,2025-01-19,,Extreme Demon,,,21,,Global,,"59,408.23",,,Fast Paced,,[VERIFIED] Andromeda by Insxne97 // TOP 5,1,5,,,2025,1
,Slaughterhouse (Unnerfed),,Tier 37,,70436808,,Unrated,,2023-10-08,,Extreme Demon,,,22,,THAL,,"54,469.62",,,Wave,,(VERIFIED) UNNERFED Slaughterhouse 100%,1,3,,,2023,1
,Slaughterhouse (ChopBlox),,Tier 37,,131185518,,Unrated,,2025-01-18,,Extreme Demon,,,23,,THAL,,"54,469.62",,,Wave,,fake version lol - YouTube,1,6,,,2025,
,The Bloop,,Tier 37,,134168288,,Unrated,,2026-03-14,,Extreme Demon,,,24,,Hand Placed,,"51,273.56",,,Chokepoints,,🔴THE BLOOP 100%🔴 STREAM 3.14 - YouTube,1,22,,,2026,
,Anathema,,Tier 37,,112313819,,Epic,,2024-11-20,,Extreme Demon,,,25,,Global,,"48,077.50",,,Learny,,(VERIFIED!) ANATHEMA 100%! [LEGENDARY DEMON],1,6,,,2024,1
,Aquamarine,,Tier 37,,77331805,,Unrated,,2024-10-08,,Extreme Demon,,,26,,Global,,"43,596.84",,,Wave,,[VERIFIED] Aquamarine 100% (Top 5 Demon) by sincos,1,6,,,2024,1
